iter	Passed	Remaining
215	5716	20746
216	5742	20720
217	5770	20701
218	5799	20681
219	5827	20660
220	5853	20634
221	5880	20608
222	5909	20589
223	5935	20561
224	5961	20534
225	5989	20511
226	6015	20483
227	6041	20457
228	6068	20432
229	6095	20406
230	6121	20379
231	6147	20350
232	6177	20334
233	6205	20314
234	6234	20295
235	6263	20275
236	6292	20258
237	6322	20243
238	6348	20212
239	6374	20186
240	6399	20155
241	6426	20127
242	6451	20098
243	6475	20064
244	6500	20031
245	6527	20006
246	6554	19981
247	6580	19952
248	6607	19928
249	6623	19871
250	6651	19849
251	6679	19825
252	6705	19799
253	6740	19796
254	6771	19782
255	6797	19754
256	6824	19729
257	6851	19705
258	6878	19680
259	6905	19654
260	6931	19626
261	6957	19598
262	6983	19569
263	7010	19543
264	7036	19516
265	7062	19488
266	7093	19472
267	7122	19453
268	7150	19431
269	7178	19409
270	7207	19388
271	7225	19339
272	7253	19314
273	7288	19310
274	7319	19296
275	7346	19271
276	7377	19256
277	7409	19244
278	7440	19226
279	7469	19207
280	7500	19191
281	7531	19177
282	7558	19150
283	7589	19134
284	7620	19117
285	7648	19094
286	7680	19079
287	7710	19061
288	7741	19045
289	7768	19020
290	7797	18997
291	7824	18970
292	7854	18951
293	7882	18929
294	7890	18857
295	7920	18836
296	7950	18819
297	7978	18795
298	8006	18770
299	8037	18753
300	8064	18728
301	8094	18707
302	8124	18688
303	8151	18662
304	8185	18653
305	8218	18640
306	8247	18618
307	8276	18595
308	8303	18568
309	8337	18557
310	8367	18536
311	8398	18520
312	8431	18505
313	8461	18485
314	8493	18469
315	8525	18454
316	8558	18439
317	8592	18427
318	8622	18408
319	8655	18391
320	8686	18374
321	8716	18352
322	8747	18334
323	8778	18315
324	8809	18297
325	8841	18278
326	8854	18223
327	8883	18199
328	8914	18181
329	8946	18164
330	8976	18142
331	9009	18126
332	9044	18115
333	9075	18096
334	9108	18080
335	9141	18065
336	9175	18051
337	9209	18036
338	9243	18022
339	9276	18008
340	9307	17986
341	9340	17971
342	9373	17953
343	9405	17936
344	9437	17917
345	9476	17912
346	9510	17897
347	9543	17880
348	9575	17862
349	9612	17851
350	9646	17836
351	9680	17820
352	9710	17798
353	9744	17782
354	9776	17763
355	9811	17749
356	9843	17729
357	9874	17708
358	9908	17691
359	9945	17680
360	9978	17662
361	10011	17644
362	10045	17627
363	10080	17612
364	10117	17602
365	10155	17590
366	10193	17581
367	10231	17571
368	10263	17550
369	10299	17537
370	10335	17523
371	10370	17507
372	10405	17490
373	10439	17473
374	10471	17453
375	10500	17425
376	10531	17402
377	10564	17383
378	10594	17358
379	10627	17339
380	10661	17322
381	10694	17301
382	10724	17277
383	10756	17255
384	10789	17234
385	10823	17216
386	10853	17191
387	10884	17168
388	10915	17144
389	10948	17124
390	10980	17103
391	11010	17077
392	11043	17056
393	11073	17032
394	11109	17015
395	11139	16991
396	11173	16971
397	11204	16947
398	11237	16926
399	11274	16912
400	11306	16889
401	11339	16868
